SL NO,Hospital Name,ZONE,State,City,Address,Contact Person,Contact Number,Pincode,Area
100,Accord Hospital (Sant Dnyaneshwar Hospital (A unit of SDMF)),WEST,Maharashtra,Pune,"Satnagar, Plot No.1/1, Sec No 4, Pune 412105 Dist Pune Maharashtra",Dr V Sabale - Director,STD(020) 67900900 67900901,412105.0,Moshi
101,Accord Multispeciality Hospital,WEST,Gujarat,Bhuj,"Mundra Road, Bhuj-Kutch Bhuj 370001 Dist Bhuj Gujarat",Dr Gyaneshwar Rao - Director,STD (02832) Tel: 230033,370001.0,Mundra Road
102,ACE Heart and Vascular Institute,NORTH,Punjab,Mohali,Sector -69 (SIVALIK Hospital) Mohali Mohali 160055 Dist Mohali Punjab,Dr. VP Singh - Managing Director,STD(0172) Tel: 5058888 5058899 Fax: 2231474,160055.0,Mohali
103,Acharya Shri Nanesh Hospital,WEST,Maharashtra,Navi Mumbai,"Plot No.34 - 37, Sector-8A,Disha School Marg, Jain Mandir Lane artist Village, CBD Belapur, Navi Mumbai - 400614; Dist: Thane; State: Maharashtra",Mrs.swapnali Kardile - TPA Co-ordinater,Std (022) Tel: 27577790 Fax: 0 Mob: 7718021225,400614.0,CBD Belapur
104,"ACME Panacea Hospital, Mysuru",SOUTH,Karnataka,Mysuru,"1075/B, Akkamahadevi Road, Iind Stage, Khilla Mohalla, J.P.Nagar Mysore 570008 Dist Mysore Karnataka",Dr.Suman Basawaraj,STD (0821) Tel: 2372257 2372258 Fax: 2372259,570008.0,J P Nagar
105,Action Cancer Hospital,NORTH,Delhi,New Delhi,"H-2/Fc-34, A-4, Paschim Vihar New Delhi 110063 Dist New Delhi Delhi",Sunil Shah,STD(011) Tel: 49222200 Fax:45024287,110063.0,Paschim Vihar
106,Acura Speciality Hospital,SOUTH,Karnataka,Bengaluru,"No. 105, 17th C Main Road, 5th Block, Koramangala Bangalore 560095 Dist Bangalore Karnataka",Dr Mohameed Tahamateen -,080 - 41105151 41105252 25506868 Fax No : 41105353,560095.0,Koramangala
107,Adani Hospitals Mundra Pvt Ltd,WEST,Gujarat,Mundra,"Old Port Road, Near Samundra Township, Mundra 370421 Dist Kutch Gujarat",Dr Maulik Patel - Med. Sup,STD : 02838 Ph No : 619555,370421.0,Near Samundra Township
108,Adarsh Hospital (A Unit Adarsh Cure Medicity Pvt. Ltd.),NORTH,Uttar Pradesh,Varanasi,"N 8/243 E-D, Newada, Sunderpur, B.H.U - D.L.W Road, City: Varanasi, Dist: Varanasi, State: Uttar Pradesh - 221005",Dr. Anurag Singh - MD,STD (0542) Tel: 2317021 Fax: 0 Mob: 9935414741,221005.0,Sunderpur
109,Adarsha Hospital,SOUTH,Karnataka,Kundapura,"Nh 66, Near Market Yard, Kundapura 576101 Dist Udupi Karnataka",Dr. Adarsha Hebbar A - Medical Director,STD(08254) Tel: 230580 Fax: 231910,576101.0,Near Market Yard
110,Adarsha Netralayam,SOUTH,Telangana,Warangal,Mandi Bazar Mandi Bazar Warangal 506002 Dist Warangal Telangana,Dr. K Anandrao -,STD(0870) Tel: 2426555 Fax:,506002.0,Mandi Bazar
111,Adavally Damodar Reddy Memorial Hospital,SOUTH,Telangana,Hyderabad,"3-9-2, Sharadanagar Ramanthapur Hyderabad 500013 Dist Rangareddy Telangana",...,....,500013.0,
112,Add Hospital P Ltd.,EAST,Orissa,Cuttack,"Junus Patna, College Square, Cuttack 753003 Dist Cuttack Orissa",Dr. Pushpa Mishra,STD (0671) Tel: 2548730 Fax: 2549730,753003.0,College Square
113,Adesh Hospital and Research Centre Pvt Ltd,NORTH,Punjab,Muktsar,Kotkapura Road Muktsar 152026 Dist Muktsar Punjab,Mr. Roopesh Choudhary,STD (01633) Tel: 500164; 262164; 264996 Fax: 261212,152026.0,Kotkapura Road
114,Adesh Institute of Medical Science & Research,NORTH,Punjab,Bathinda,"Barnala road, Kachi Bhucho, Bathinda ; Dist: Bathinda; State: Punjab-151001",Bharat - Incharge,STD(0164) Tel :5092008 Fax: 0 Mob: 8146437162,151001.0,Kachi Bhucho
115,Adinath Ent and General Hospital,NORTH,Rajasthan,Jaipur,"B-102A, Udai Marg, Tilak Nagar, Behind LBS Collage, Raja Park, Jaipur 302004 Dist Jaipur Rajasthan",Dr. Lovelish Jain - Director,STD (0141) 4025444 2621300,302004.0,Raja Park
116,Adithya Adhikari Hospital,SOUTH,Karnataka,Mysuru,Contour Road Gokulam Mysore 570016 Dist Mysore Karnataka,Dr N Chandrashekar -,STD(0821) Tel: 2512532 Fax: 2513772,570016.0,Gokulam
117,Aditi General & Eye Hospital,NORTH,Rajasthan,Jaipur,"B-9/632, Opp: SBBJ Bank, Chitrakoot Jaipur 302021 Dist Jaipur Rajasthan",Dr. R.K. Varma - MD,STD(0141) Tel: 2441575 Fax: 0,302021.0,Chitrakoot
118,Aditi Hospital,WEST,Maharashtra,Mumbai,"Alhad-185/R OPP Kalidas Sports Complex, P K Road Mulund (W) Mumbai",Dr K.K Mishra,9821011839,400080.0,Mulund (W)
119,Aditi Hospital,WEST,Maharashtra,Mumbai,"1st Floor, Param Ratan, Opposite New Post Office, Jakaria Road, Malad West, City: Mumbai; Dist: Mumbai; State: Maharashtra - 400097",Sunil Agarwal-Chairman,Std(022) Tel: 28882278Fax: 0 Mob: 9819227070,400097.0,Jakaria Road
120,Aditya Birla Memorial Hospital,WEST,Maharashtra,Pune,Aditya Birla Hospital Marg P.O.ChiNohwad Pune 411033 Dist Pune Maharashtra,Dr. B K Trivedi - Managing Director,STD (020) Tel:30717534 30717977 Fax:30717102,411033.0,Chinchwad
121,Aditya Care Hospital,SOUTH,Telangana,Karimnagar,"H.No:3-3-148/1, Beside Civil Hospital, Savaran Street, Karimnagar 505001 Dist Karimnagar Telangana",Dr. V. Chandra Sekhar - Managing Director,STD (078) 2245344 2245345 Fax:2245346,505001.0,Savaran Street
122,Aditya Care Hospital (A unit of Quality Care India Ltd).,EAST,Orissa,Bhubaneswar,329/1929(P) Near MuNoipal Kalyan Mandap Chandrasekharpur Bhubaneswar 751016 Dist Bhubaneswar Orissa,Dr. S K Mishra,STD(0674) Tel: 3053200 Fax: 3053222,751016.0,Chandrasekharpur
123,Aditya Diagnostics & Hospitals,EAST,Assam,Dibrugarh,"Bordoloi Avenue, Amc Road Dibrugarh, Dist: Dibrugarh, State: Assam - 786005",Mr Titu Das - Manager,STD (0373) Tel: 2302219,786005.0,AMC Road
124,Aditya Eye Care Centre,NORTH,Uttar Pradesh,Kanpur,"104A/326, Rambagh kanpur 208012 Dist kanpur Uttar Pradesh",Dr.Abhishek Vajpeyi - Managing Director,STD (0512) Mobile:9936432366,208012.0,Rambagh
125,Aditya Eye Clinic & Contact Lens Centre,WEST,Maharashtra,Pune,"1A Kumar Plaza, 8 M.G.Road, Next to Wonderland, Pune 411001 Dist Pune Maharashtra",Dr. Rajneesh Pawar - Owner,STD (020) Tel: 26133077 Fax: 0,411001.0,M.G.Road
126,Aditya Eye Hospital,SOUTH,Kerala,Kochi,"Judge Mukku, Thrikkakara, Kochi 686021 Dist Ernakulam Kerala",Dr.Sunil Bhaskaran,STD (0484) 2576115,686021.0,Thrikkakara
127,Aditya Hospital,SOUTH,Telangana,Warangal,"Opp: Police Head Quartes Bus Stop, Near Petrol Bunk, Hanamakonda, Dist: Warangal, stateL: Telangana - 506001",V.Sriram,Mob: 9440120908,506001.0,Hanamkonda
128,"Aditya Hospital, Chennai",SOUTH,Tamil Nadu,Chennai,"No:7, Barnaby Road Kilpauk Chennai Chennai 600010 Dist Chennai Tamil Nadu",Dr. R Jayaprakash - Managing Director,STD(044) Tel: 26411447 26411450 26615454 Fax: 26615454,600010.0,Kilpauk
129,Aditya Hospitals,SOUTH,Telangana,Hyderabad,"4.1.16, Adjacent Endowments Tilak Road Abids Hyderabad 500001 Dist Hyderabad Telangana",Dr. Yadaiah T Goud - Chairman,STD(040) Tel: 24752988 24754153 Fax: 66785408 24754117,500001.0,Abids
130,"Aditya Hospitals, Uppal",SOUTH,Telangana,Hyderabad,"#2-3-215/H/A/.OPP:BHARAT Petrol Pump, Shanti Nagar, Uppal Hyderabad 500039 Dist Hyderabad Telangana",Mr. M Naveen,STD (040) Tel: 33855555 Fax: 27214445,500039.0,Uppal
131,Aditya Life Line Pvt. Ltd,NORTH,Madhya Pradesh,Indore,"315 Usha Nagar Extension, Near ranjeet Hanuman Road, Indore, Dist:Indore, State: Madhya Pradesh-452009",...,...,452009.0,Mahu Naka
132,Aditya Medical Park,EAST,West Bengal,Barasat,"Taki Road, Kayra Kadambogachi Barasat 700124 Dist 24 Parganas (NORTH) West Bengal",Mr. Bhaskar Aditya -,STD(033) Tel: 25523256 25843500 Fax: 25523256,700124.0,Barasat
133,Aditya Multicare Hospital,SOUTH,Andhra Pradesh,Visakhapatnam,"#18-1-33, Opp. K.G.H O.P-Gate, Aditya Medical Complex, Maharanipeta, Visakhapatnam - 530002; Dist:Visakhapatnam; State;Andhra Pradesh",Mr M Suresh Naidu - Managing Director,STD (0891) 2566664 2522055 Fax:2566664,530002.0,Maharanipeta
134,Aditya Netralaya,SOUTH,Karnataka,Bengaluru,"No.244, 7th Cross, 6th Block, Bsk 3rd Phase, 3rd Stage, Bangalore 560085 Dist Bangalore Karnataka",Dr. H. Y. Srinivas,STD (080) Tel: 26695392 Fax: 26693392,560085.0,3rd Stage
135,Aditya Neuro & Spine Speciality Hospital,NORTH,Haryana,Rewari,"Circular Road, Near Kanod Gate, Rewari, District: Rewari, State: Haryana-123401",Dr.S.N.Manikandan,"STD: (1274 ), Tel: 221144, Fax: (0), Mob: 8295426677",123401.0,Rewari
136,"Aditya Nursing Home, Andhra Pradesh",SOUTH,Andhra Pradesh,Kurnool,"1-541-135, College Road College Road Adoni 518302 Dist Kurnool Andhra Pradesh",Dr. B Srinivasulu - Physician,STD(08512) Tel: 231006 230792 Fax:,518302.0,College Road
137,Aditya Orthopaedic And Trauma Centre,SOUTH,Karnataka,Tumukuru,"Sri Shivakumara Swamy Circle, B.H. Road Tumkur 572102 Dist Tumkur Karnataka",Dr TV Tyagaraj - Propriter,STD : 0816 Ph No : 2260023 Fax : 2279003,572102.0,B.H. Road
138,Aditya Super Speciality Hospital And Trauma Centre,NORTH,Madhya Pradesh,Jabalpur,"Opp. Little Kingdom School, Mlb School Road, Napier Town, Jabalpur 482001 Dist Jabalpur Madhya Pradesh",Dr. O.P. Sisodiya,STD (0761) Tel: 2401000 4218312 Fax: 4071409,482001.0,Napier Town
139,Adityavardhan Hospital,WEST,Maharashtra,Thane,"Sadichha Tower, 1st Floor, Old Bombay Agra Road, Next to Royal, City: Thane, Dist: Thane, State: Maharashtra - 400601",...,STD (022) Tel: 21723444 Fax: 0 Mob: 9322284737,400601.0,Thane
140,Adiva Hospitals Pvt. Ltd.,NORTH,Delhi,New Delhi,"C-1/C, Green Park Extension New Delhi 110016 Dist New Delhi Delhi",Hari Kumar,STD(011) Tel: 46681405 Fax: 46681405,110016.0,Green Park Extension
141,Adlakha Hospital,NORTH,Punjab,Amritsar,Race Course Road Amritsar 143001,Dr. Sharda Adlakha,183 2225353,143001.0,Race Course Road
142,Adlux Medicity And Convention Centre Private Limited,SOUTH,Kerala,Angamaly,"No. 35/2, Block No.3, Cable Junction, Karukutty Post, City: Angamaly, Dist: Ernakulam, State: Kerala - 683576",P. Neelakannan - C.E.O,STD (0484) Tel: 2735000 Fax: 0 Mob: 7594046151,683576.0,Cable Junction
143,ADR Hospitals,SOUTH,Telangana,Hyderabad,"H.No. 4-112/1, Anand Bagh, Malkajgiri Hyderabad 500017 Dist Hyderabad Telangana",Dr.Malathy,STD (040) 24246394 Fax:27243322,500017.0,Malakajgiri
144,Advance Mother and Child Care Centre,NORTH,Punjab,Zirakpur,"67, Jaligidhar ENolave, Baltana Zirakpur 140603 Dist Mohali Punjab",Dr. Jatinder,STD (0172) Tel: 530954 Fax: 530954,140603.0,Baltana
145,Advanced Centre For Eyes,NORTH,Punjab,Ludhiana,"4d, Kitchlu Nagar, Ludhiana 141001 Dist Ludhiana Punjab",Dr Dinesh Garg,STD (0161) Tel: 2304550 Fax: 4634550,141001.0,Kitchlu Nagar
146,Advanced Eye Care Hospital,EAST,Orissa,Bhubaneswar,"A-22, Ruchika Market, Baramunda, Bhubaneshwar 751003 Dist Khurda Orissa",Dr.Lolly Pattnaik - Director,STD (0674) Tel: 2355099 Fax: 0 Mob: 0,751003.0,Baramunda
147,Advanced Eye Hospital & Institute,WEST,Maharashtra,Mumbai,"30, The Affaires, Palm Beach Road, Sector-17",,,400705.0,Sanpada
148,Advanced Neurology & Superspeciality Hospital,NORTH,Rajasthan,Jaipur,"Brain - Tower, D-358, Malviyanagar, Near Gaurav Tower, Jaipur Jaipur 302017 Dist Jaipur Rajasthan",Dr. Sunit Shah - Director,STD(0141) Tel: 2724258 Fax: 2546364,302017.0,Near Gaurav Tower
149,Advanced Orthopaedic Centre,WEST,Maharashtra,Thane,"“PASAYDAN"" Next To Dnyraj Sabhagruh, Near Tmc Building, Pachpakhadi Thane 400602 Dist Thane Maharashtra",Dr Subodh Mehta - Managing Director,STD (022) 25424222 Fax:25395818,400602.0,Pachpakhadi
150,Adventist Wockhardt Heart Hospital,WEST,Gujarat,Surat,"24, Athwalines, Opp.K.P.College Commerce Surat Surat 395001 Dist Surat Gujarat",Dr. Ajay Angirish -,STD(0261) Tel: 6694444 6694400 6694409 Fax: 6694242,395001.0,OppKPCollege of Commerce
151,Adwita Hospital,EAST,Bihar,Begusarai,"Dak Banglow Road, Begusarai - 851101; Dist: Begusarai; State: Bihar",Dr. Hemant Kumar - Propertior,Std (06243) Tel: 223017 Fax: 223017,851101.0,Dak Banglow Road
152,Adya Hospital,NORTH,Uttar Pradesh,Allahabad,"Andawa, By Pass Chauraha, Prayagraj, City: Jhunsi, Dist: Allahabad, State: Uttar Pradesh - 211019",Dr. Devendra Datt Tiwari - MD,STD (532) Tel: 2568085 Fax: 0 Mob: 9838228090,211019.0,Katka Andawa Chauraha
153,Adyar PM Hospitals & Research Centre Pvt Ltd,SOUTH,Tamil Nadu,Chennai,"58, Lb Road Adayar Chennai Chennai 600020 Dist Chennai Tamil Nadu",Dr. Saraswathy Muthusamy - Managing Director,STD(044) Tel: 24412000 24422001 Fax: 24415096,600020.0,Adayar
154,Aeshrat Nursing Home,EAST,Orissa,Berhampur,"Old Bust Stand, Opp.Head Post fice, Berhampur 760001 Dist Ganjam Orissa",Basanti Patna,STD(0680) Tel: 2221680 Fax: 2222268,760001.0,OppHead Post Office
155,AG Eye Care Hospitals,SOUTH,Tamil Nadu,Chennai,"No: 37/16, K.B.Dasan Road, Teynampet, Chennai- 600018; Dist Chennai; State: Tamil Nadu",Mr Anantha Raja,STD (044) Tel: 24352323 Fax: 0,600018.0,Teynampet
156,AG Hospital (Gajanan Hospital),SOUTH,Tamil Nadu,Chennai,"#29, Kakan Street West Tambaram Chennai Chennai 600045 Dist Chennai Tamil Nadu",Mr. A Bharat - Administrative Officer,STD(044) Tel: 22266649 22266550 Fax: 22266287,600045.0,West Tambaram
157,Agada Healthcare Pvt Ltd,SOUTH,Tamil Nadu,Chennai,"No:8, Dr.Nair Road, T-Nagar, Chennai 600017 Dist Chennai Tamil Nadu",Dr Mohan Thanigachalam - Director,STD (044) Tel:30133721 30133722 Fax:30133740,600017.0,T-Nagar
158,Agarwal Clinic And Nursing Home,NORTH,Uttaranchal,Haldwani,"Mahesh Nagar, Nawabi Road Haldwani 263139 Dist Nainital Uttara Khand",Mr.Narender Bisht - Manager,STD (05946) 283334,263139.0,Nawabi Road
159,"Agarwal Eye Hospital, Goregaon",WEST,Maharashtra,Mumbai,"28-B/1, Krishna Kunj Ground Floor, Near Jawahar Nagar Co-Op Society Goregaon - West Mumbai 400082 Dist Mumbai Maharashtra",Dr. Shivshankar N Agarwal - Medical Director,STD(022) Tel: 28724632 28745043 Fax: 28765898,400082.0,Goregaon - West
160,Agarwal Maternity & General Hospital,WEST,Maharashtra,Pune,"45/1+2+5,Sangarsh Chowk Kharodi Road, Chandanagar Pune 411014 Dist Pune Maharashtra","Dr. DrAnish Agarwal {MBBS, DGO,DNB} DrArchana Agarwal","MSTDD,( D02N0B)}  T-e Dl:i r6e5c3to1r2206 Fax: 27009118 27010704",411014.0,Chandanagar
161,Agarwal Medical Centre,NORTH,Uttaranchal,Laksar,Laksar Haridwar Road Laksar 247663 Dist Haridwar Uttara Khand,Dr. Ankit Agarwal - Managing Director,STD(01332) Tel: 254455 254456 Fax: 254455,247663.0,Haridwar Road
162,Agarwal Medical Centre,NORTH,Delhi,New Delhi,"E-234, Greater Kailash Part - 1, New Delhi 110048 Dist Delhi Delhi",Dr Neeraj Agarwal,STD (011) Tel: 41730919 Fax: 29231422,110048.0,Greater Kailash Part – 1
163,Agarwal Nursing Home & ALFA Diagnostic Centre,NORTH,Haryana,Narnaul,"Shekhpura Turn, Mahendragarh Road Narnaul 123001 Dist Mahendergarh Haryana",Dr Chitranjan Mittal - Owner,STD (0152) 260884 260096 Fax:260096,123001.0,Mahendragarh Road
164,"Agarwal Nursing Home, Haryana",NORTH,Haryana,Kurukshetra,Salarpur Road Kurukshetra Kurukshetra 136118 Dist Kurukshetra Haryana,Dr. K C Agarwal - Managing Director,STD(01744) Tel: 220355 221155 Fax:,136118.0,Kurukshetra
165,Aggarwal Eye Clinic,WEST,Maharashtra,Mumbai,"102/5, KETAYUN MANSION SAHAJI RAJA MARG, KOLDONGRI, ANDHERI MUMBAI 400057 MAHARASHTRA",Dr. Prem Aggarwal - Director,STD(022) Tel: 66960220 66960221 26825893 Fax: 66960220,400057.0,Andher E
166,Aggarwal Nursing Home & Multi Speciality Hospital,NORTH,Punjab,Amritsar,"Inside Sultanwind Gate, Old Lakkar Mandi, Near Jallian Wala Bagh, Amritsar 143001 Dist Amritsar Punjab",Dr.Vinod Aggarwal,STD (0183) 2548483 2559621,143001.0,Near Jallian Wala Bagh
167,Agile Hospitals Pvt Ltd,EAST,Assam,Guwahati,"Joyanagar, Khanapara, Guwahati Guwahati 781022 Dist Kamrup Assam",Dr. PK Dev Mahanta 9864021963 - Managing Director,STD(0361) Tel: 2307611 2300152 Fax:,781022.0,Khanapara
168,Agraseni Hospital,SOUTH,Andhra Pradesh,Kurnool,"46-1-BK-ST-504,Sapthagiri Nagar, Kurnool Dist:Kurnool, State:Andhra Pradesh - 518002",Dr.B.C.Pavan Kumar Singh-MD,STD (08518)-221239,518002.0,Sapthagiri Nagar
169,"Agrawal Eye Hospital, Malad",WEST,Maharashtra,Mumbai,Maharaja Appartments S V Road Malad - West Mumbai 400064 Dist Mumbai Maharashtra,Dr. Shyam Agarwal - Owner,STD(022) Tel: 28820900 2881730 Fax: 30974585 8884488,400064.0,Malad - West
170,Agrawal Eye Institute,NORTH,Delhi,New Delhi,"A-235, Shivalik, Malviya Nagar, New Delhi - 110017; Dist: New Delhi; State: Delhi",Dr. Shishir Agrawal,Std(011) Tel: 26680397 41556445 Fax: 26682203,110017.0,Malviya Nagar
171,"Agrawal Hospital, Bhopal",NORTH,Madhya Pradesh,Bhopal,"E-3/15, Arera Colony Near Habibganj Rly Crossing Bhopal Bhopal 462016 Dist Bhopal Madhya Pradesh",Dr. P N Agarwal - Managing Director,STD(0755) Tel: 4283383 4278190 Fax: 2460600,462016.0,Near Habibganj Rly Crossing
172,"Agrawal Hospital, Gujarat",WEST,Gujarat,Patan,"Kilachand Centre Station Road, Patan Patan 384265 Dist Patan Gujarat",Dr. Amit Agrawal - Medical Superitendent,STD(02766) Tel: 231601 222083 Fax: 221601,384265.0,Station Road
173,"Agrawal Hospital, Tonk",NORTH,Rajasthan,Tonk,"Park Plaza City S.M.Road, Tonk 304001 Dist Tonk Rajasthan",Dr. Surendra Agrawal,STD (01432) Tel: 253903 Fax: 253902,304001.0,SMRoad
174,Ahalia Foundation Eye Hospital,SOUTH,Kerala,Palakkad,1/1053 Elapully Elapully Elapully 678622 Dist Palakkad Kerala,Mr. Mohan - Administrator,STD(04923) Tel: 235999 235105 235888 Fax: 235105 235888,678622.0,Elapully
175,Ahalia Foundation Eye Hospital,SOUTH,Kerala,Palakkad,"KTM Plaza, Near Kunthipuzha bridge Mannarkkad, Dist: Palakkad, State: Kerala-678583",0,0,678583.0,Mannarkkad
176,Ahalia Foundation Eye Hospital,SOUTH,Kerala,Kottakkal,"Towns Ville Edarikode Po Chankuvetty, City: Kottakkal, Dist: Malappuram, State: Kerala-676501",0,"STD (0495) Tel:2762800, Fax:0, Mob; 9656605527",676501.0,Towns Ville Edarikode
177,Ahalia Foundation Eye Hospital,SOUTH,Kerala,Kanhangad,"Chemmattam Vayal, Opp. District Hospital, City: Kanhangad, Dist: Kasargod, State: Kerala-670315",0,"STD(0467) Tel: 2200844, Fax:0, Mob: 9400786948",670315.0,Chemmattam Vayal
178,Ahalia Foundation Eye Hospital,SOUTH,Kerala,Pathanamthitta,"Thekkemuriyil Arcade, College Road, City: Pathanamthitta, Dist: Pathanamthitta, State: Kerala-689645",0,"STD (0467) tel: 2224240, fax: 0, Mob: 8129362621",689645.0,College Road
179,Ahalia Foundation Eye Hospital,SOUTH,Kerala,Manjeri,"Palace Complex, Calicut Road, City: Manjeri, Dist: Malappuram, State: Kerala-676121",0,"STD (0483) Tel: 2767192, Fax:0, Mob: 9961524060",676121.0,Manjeri
180,Ahalia Foundation Eye Hospital,SOUTH,Kerala,Karimpanapalam,"Atlas Building, Near Jyothi Petrol Pump, City: Karimpanapalam, Dist: Kozhikode, State: Kerala-686685",0,"STD(0496) Tel: 2517757, Fax:0, Mob: 9447409486",686685.0,Karimpanapalam
181,Ahalia Foundation Eye Hospital,SOUTH,Kerala,Muvattupuzha,"Velloorkunam, City: Muvattupuzha, Dist: Ernakulam, State: kerala-686661",0,"STD (90485) Tel:2810070, Fax:0, Mob: 9747312856",686661.0,Velloorkunnam
182,Ahalia Foundation Eye Hospital,SOUTH,Kerala,Kollam,"Pottan Street, North Paravur, City: Kollam, Dist: Kollam, State: Kerala-691301",0,"STD(0485) Tel: 2810070, Fax:0, Mob: 9847174179",691301.0,Pottan Street
183,Ahalia Foundation Eye Hospital,SOUTH,Kerala,changanacherry,"SH-11, Perunna City: Changanassry, Dist: Kottayam, State: Kerala-686101",0,"STD(0) Tel:0, Fax:0, Mob: 9656993335",686101.0,Changanassry
184,Ahalia Foundation Eye Hospital,SOUTH,Kerala,Palakkad,"Near Kalpaka Street, Mele pattambi, City: Palakkad, Dist: Palakkad, State: Kerala-679306",0,"STD (0) Tel:0, Fax:0, Mob: 9496396714",679306.0,Near Kalpaka Street
185,AHALIA FOUNDATION EYE HOSPITAL,SOUTH,Kerala,Ponnani,"Thavanoor Road, Chamravattam Junction, City: Ponnani, Dist: Wayanad, State: Kerala-679577",0,"STD(0494) Tel: 2950777, Fax:0, Mob: 9400247680",679577.0,Chamravattam Junction
186,Ahalia Foundation Eye Hospital,SOUTH,Kerala,Thrissur,"5Th Floor, Thrissur Trade Centre, City: Thrissur, Dist: Thrissur, State: Kerala-680001",0,"STD(0487) Tel:2428740, Fax:0, Mob: 9656717111",680001.0,Kuruppam Road
187,Ahalia Foundation Eye Hospital,SOUTH,Kerala,Thrissur,"Kodungallur - Shornur Road, Kattungachirangara, Irinjalakuda North, Porathissery, City: IrinjalKuda, Dist: Thrissur, State: Kerala-681021",0,"STD (0480) Tel: 2933434, Fax:0, Mob: 9947847580",681021.0,Kattungachira
188,Ahalia Foundation Eye Hospital,SOUTH,Kerala,Kalpetta,"Near Municipal Bus Stand, PGR Tower, City: Kalpetta, Dist: Wayanad, State: Kerala-673121",0,"STD (04936) Tel: 206032, Fax:0, Mob: 9846792280",673121.0,Nr. Municipal Bus Stand
189,Ahalia Foundation Eye Hospital,SOUTH,Kerala,Kayamkulam,"Kmc 32/66, Pulimoottil Towers, Park Junction, City: Kayamkulam, Dist: Alappuzha, State: Kerala-690502",0,"STD (0479) Tel: 2443906, Fax: 0, Mob: 9539484902",690502.0,Park Junction
190,Ahalia Foundation Eye Hospital,SOUTH,Kerala,Attingal,"Saroz Arcad Nh, Opp: Lic Office, City: Attingal, Dist: Thiruvananthapuram, State: Kerala-695101",0,"STD(0) Tel:0, Fax:0, Mob: 8301078964",695101.0,Opp: Lic Office
191,Ahalya Nursing Home,SOUTH,Andhra Pradesh,Guntur,"D.No.12-10-16/3, Beside Shivalayam, Kothapet Guntur 522001 Dist Guntur Andhra Pradesh",Dr.S.B.Uday Shankar - Managing Director,STD (0863) 6450135,522001.0,Beside Shivalayam
192,Ahemadnagar Apple Multispeciality Hospital,WEST,Maharashtra,Ahmednagar,"Dhumal Pride, Gajanan Colony, Vadgaon Gupta Road, Ahmednagar-414111; Dist: Ahmednagar; State: Maharashtra",..,Std(0241) Tel: 2323535 Fax: 0 Mob: 9762376236,414111.0,Dhumal Pride
193,Ahooja Eye and Dental Institute,NORTH,Haryana,Gurugram,"560/1, Dayanand Colony New Railway Road, Opp: Bhim Nagar Gurgaon Gurgaon 122001 Dist Gurgaon Haryana",Dr. Hitendra Ahooja - Medical Director,STD(0124) Tel: 2321234 2327424 Fax: 2327424 2225105,122001.0,Opp: Bhim Nagar
194,Ahuja Eye Centre,NORTH,Delhi,New Delhi,"Ag-11, Shalimar Bagh Mahatma Gandhi Road, Poorvi Shalimar Bagh, Shalimar Bagh, New Delhi - 110088; Dist: New Delhi; State: Delhi",..,Std(011) Tel: 27470787 Fax: 0,110088.0,Shalimar Bagh
195,AIG Hospitals,SOUTH,Telangana,Hyderabad,"Door No: 1-66/AIG/2-5, survey, 136/1, Gachibowli, village, Serilingam Palli, Mandal, Hyderabad, Dist: Hyderabad, State: Telangana-500032",D. Nageswara Reddy - Chairman,"STD(40) Tel: 42444222, Fax: 0, Mob: 9652640088",500032.0,Gachibowli
196,Aimc Bassi Hospital,NORTH,Punjab,Ludhiana,"200, Tagore Nagar Opp.Postal & INoome Tax Colony, Ludhiana Ludhiana 140801 Dist Ludhiana Punjab",Dr. Naresh Bassi -,STD(0161) Tel: 4633160 4633159 2471096 Fax: 2473192 2303192,140801.0,OppPostal & Income tax Colony
197,AIMS Hospital & Research Centre,WEST,Maharashtra,Pune,"S.No.154, Near Aims Square, Aundh Pune 411007 Dist Pune Maharashtra",Dr.Kishore Pandit - Medical Director,"STD (020) Tel :25801000, 25801019 Fax :25801022",411007.0,Near AIMS Square
198,"AIMS Hospital, Ahmedabad",WEST,Gujarat,Ahmedabad,"P N House, Opp Jethabhai Park, Narayan Nagar Road, . Nid, Paldi, Ahmedabad Dist Ahmedabad Gujarat",TPA Coordinator,0,380007.0,Paldi
